id,priority,severity,area,file,line,finding,confidence,affected_scope,exploit_or_impact,recommendation,effort,confirmed
CF-001,P1,High,Security,forge/tools/shell.py,_shell_argv/ShellTool.run,Unsandboxed shell execution with no confirmation gate or allowlist,High,All Users,Prompt injection in file/MCP/web content -> model emits shell call -> arbitrary code execution as the operator (credential theft, rm -rf, exfiltration),Document trust model + add opt-in command-approval gate and an executed-command audit log,Days,true
CF-002,P1,High,Process,N/A (workspace),N/A,No version control in the workspace,High,Internal Only,No history/churn/ownership/rollback/review; cannot reconstruct or revert changes,git init + commit + push to protected remote,Hours,true
CF-003,P1,High,Infrastructure,N/A,N/A,No CI test/lint/audit gate,High,Internal Only,Strong test suite is not enforced on change; regressions can land silently,Add CI running pytest + ruff + pip-audit on push/PR for py3.11-3.13,Hours,true
CF-004,P2,Medium,Dependencies,pyproject.toml,dependencies,All runtime dependencies are unpinned with no lockfile,High,Internal Only,Non-reproducible installs; a breaking google-genai/mcp release breaks Forge with no code change,Pin compatible-release ranges + commit a lockfile (uv/pip-tools),Hours,true
CF-005,P2,Medium,CodeQuality,forge/vertex.py,1-872,vertex.py is a god module (~7 responsibilities in 872 lines),High,Internal Only,Highest change-friction file; harder to review/modify safely,Extract SDK translation + retry-hint helpers into a separate module,Days,true
CF-006,P2,Medium,DX,README.md,N/A,README omits security/trust model and config docs,High,All Users,Operators unaware Forge executes arbitrary commands; slower onboarding,Add Security & trust + config reference sections,Hours,true
CF-007,P2,Medium,Testing,N/A (local env),N/A,Full test suite cannot run locally due to temp-dir ACL,High,Internal Only,34 integration tests error at tmp_path setup; integration coverage unverifiable locally,Recreate temp dir or use pytest --basetemp; re-run to confirm green,Hours,true
CF-008,P3,Low,Performance,forge/tools/search.py,_run_content/_read_text,Content search reads every workspace file fully into memory per query,High,All Users,Slow/memory-heavy searches on large or binary-heavy workspaces,Stream files line-by-line; skip oversized files; short-circuit at result cap,Hours,true
CF-009,P3,Low,DataIntegrity,forge/session.py,SessionStore.save,No cross-process lock on session writes,Medium,Internal Only,Two processes resuming the same session id can clobber each other (last-writer-wins),Add an advisory per-session lock file or document the constraint,Hours,true
CF-010,P3,Low,Security,forge/session.py,session_to_json/SessionStore.save,Session transcripts persisted unencrypted may contain secrets the agent read,High,All Users,A secret read during a turn is stored in cleartext in the session JSON,Document it; offer --no-persist/redaction; set restrictive file perms,Hours,true
CF-011,P3,Low,CodeQuality,forge/tools/fs.py,WriteTool.run/EditTool.run,Atomic-write and binary-detection logic duplicated across tools and SessionStore,High,Internal Only,Minor drift risk if one copy changes,Extract shared atomicwrite() and decode-or-binary helpers,Hours,true
CF-012,P3,Low,Dependencies,pyproject.toml,optional-dependencies.dev,pytest-asyncio used in tests but not declared,Medium,Internal Only,Undeclared dev dependency; fresh env may miss it,Add to [dev] extras or remove the dependency,Hours,false
